Pallet	Origen	Código HU	Estado	F1 - Transacción	F1 - Resultado	F1 - Hora Inicio/Fin	F2 - Transacción	F2 - Resultado	F2 - Hora Inicio/Fin	F2 - Duración (ms)	Agregada (Fecha y Hora)	Procesada (Fecha y Hora)
P01	China	T10045836129	OK	ZMOVEINBHU	OK	12:14:34	ZMMTIJSEP	OK	12:16:35	1384	27/03/2026 12:14	27/03/2026 12:16
P01	China	T10045869290	OK	ZMOVEINBHU	OK	12:14:36	ZMMTIJSEP	OK	12:16:51	6249	27/03/2026 12:14	27/03/2026 12:16
P01	China	T10045839870	OK	ZMOVEINBHU	OK	12:14:38	ZMMTIJSEP	OK	12:17:06	6264	27/03/2026 12:14	27/03/2026 12:17
P01	China	T10045862997	OK	ZMOVEINBHU	OK	12:14:38	ZMMTIJSEP	OK	12:17:22	6204	27/03/2026 12:14	27/03/2026 12:17
P01	China	T10045865355	OK	ZMOVEINBHU	OK	12:14:40	ZMMTIJSEP	OK	12:17:38	6121	27/03/2026 12:14	27/03/2026 12:17
P01	China	T10045865364	OK	ZMOVEINBHU	OK	12:14:42	ZMMTIJSEP	OK	12:17:53	6194	27/03/2026 12:14	27/03/2026 12:17
P01	China	T10045856625	OK	ZMOVEINBHU	OK	12:14:44	ZMMTIJSEP	OK	12:18:08	6105	27/03/2026 12:14	27/03/2026 12:18
P01	China	T10045864550	OK	ZMOVEINBHU	OK	12:14:50	ZMMTIJSEP	OK	12:18:24	6160	27/03/2026 12:14	27/03/2026 12:18
P01	Desconocido	TH0000255697	OK	ZMOVEINBHU	OK	12:15:02	ZMMTIJSEP	OK	12:18:39	6007	27/03/2026 12:15	27/03/2026 12:18
P01	China	T10045839869	OK	ZMOVEINBHU	OK	12:15:04	ZMMTIJSEP	OK	12:18:54	5818	27/03/2026 12:15	27/03/2026 12:18
P01	China	T10045853642	OK	ZMOVEINBHU	OK	12:15:04	ZMMTIJSEP	OK	12:19:09	6213	27/03/2026 12:15	27/03/2026 12:19
P01	China	T10045837438	OK	ZMOVEINBHU	OK	12:15:06	ZMMTIJSEP	OK	12:19:24	6090	27/03/2026 12:15	27/03/2026 12:19
P01	China	T10045856623	OK	ZMOVEINBHU	OK	12:15:07	ZMMTIJSEP	OK	12:19:40	6111	27/03/2026 12:15	27/03/2026 12:19
P01	China	T10045850640	OK	ZMOVEINBHU	OK	12:15:08	ZMMTIJSEP	OK	12:19:55	6365	27/03/2026 12:15	27/03/2026 12:19
P01	China	T10045869378	OK	ZMOVEINBHU	OK	12:15:09	ZMMTIJSEP	OK	12:20:11	6177	27/03/2026 12:15	27/03/2026 12:20
P01	China	T10045835292	OK	ZMOVEINBHU	OK	12:15:10	ZMMTIJSEP	OK	12:20:26	6052	27/03/2026 12:15	27/03/2026 12:20
P02	China	T10045831718	OK	ZMOVEINBHU	OK	12:15:45	ZMMTIJSEP	OK	12:23:02	1001	27/03/2026 12:15	27/03/2026 12:23
P02	China	T10045837389	OK	ZMOVEINBHU	OK	12:15:47	ZMMTIJSEP	OK	12:23:17	6083	27/03/2026 12:15	27/03/2026 12:23
P02	China	T10045839875	OK	ZMOVEINBHU	OK	12:15:48	ZMMTIJSEP	OK	12:23:32	6176	27/03/2026 12:15	27/03/2026 12:23
P02	China	T10045836138	OK	ZMOVEINBHU	OK	12:15:49	ZMMTIJSEP	OK	12:23:49	6173	27/03/2026 12:15	27/03/2026 12:23
P02	China	T10045864777	OK	ZMOVEINBHU	OK	12:15:50	ZMMTIJSEP	OK	12:24:04	6168	27/03/2026 12:15	27/03/2026 12:24
P02	China	T10045864548	OK	ZMOVEINBHU	OK	12:15:51	ZMMTIJSEP	OK	12:24:21	6308	27/03/2026 12:15	27/03/2026 12:24
P02	China	T10045839807	OK	ZMOVEINBHU	OK	12:15:51	ZMMTIJSEP	OK	12:24:36	6297	27/03/2026 12:15	27/03/2026 12:24
P02	China	T10045864558	OK	ZMOVEINBHU	OK	12:15:52	ZMMTIJSEP	OK	12:24:52	6168	27/03/2026 12:15	27/03/2026 12:24
P02	China	T10045864538	OK	ZMOVEINBHU	OK	12:16:00	ZMMTIJSEP	OK	12:25:08	6980	27/03/2026 12:16	27/03/2026 12:25
P02	China	T10045864507	OK	ZMOVEINBHU	OK	12:16:03	ZMMTIJSEP	OK	12:25:23	6098	27/03/2026 12:16	27/03/2026 12:25
