Pallet,Origen,Código HU,Estado,F1,F1 msg,F2,F2 msg,F2 ms,Agregada,Procesada
P01,Italia,2972642274,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571545265 was created,ZMMTIJSEP,OK,1002,02/04/2026 15:05:45,02/04/2026 15:07:10
P02,Italia,2972642270,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571545321 was created,ZMMTIJSEP,OK,6151,02/04/2026 15:05:51,02/04/2026 15:07:27
P03,Italia,2972642389,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571546291 was created,ZMMTIJSEP,OK,6223,02/04/2026 15:05:55,02/04/2026 15:07:46
P04,Italia,2972642071,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571546630 was created,ZMMTIJSEP,OK,6313,02/04/2026 15:05:57,02/04/2026 15:08:05
P05,Italia,2972638340,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571546711 was created,ZMMTIJSEP,OK,6186,02/04/2026 15:05:59,02/04/2026 15:08:22
P06,Italia,2972642050,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571546962 was created,ZMMTIJSEP,OK,6326,02/04/2026 15:06:01,02/04/2026 15:08:40
P07,Italia,2972642076,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571547007 was created,ZMMTIJSEP,OK,6188,02/04/2026 15:06:02,02/04/2026 15:08:55
P08,Italia,2972642070,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571547242 was created,ZMMTIJSEP,OK,6262,02/04/2026 15:06:06,02/04/2026 15:09:11
P09,Italia,2972642051,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571547266 was created,ZMMTIJSEP,OK,6420,02/04/2026 15:06:09,02/04/2026 15:09:27
P10,Italia,2972638562,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571547299 was created,ZMMTIJSEP,OK,6055,02/04/2026 15:06:12,02/04/2026 15:09:43
P11,Italia,2972642039,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571547847 was created,ZMMTIJSEP,OK,6405,02/04/2026 15:06:18,02/04/2026 15:10:03
P12,Italia,2972642057,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571547922 was created,ZMMTIJSEP,OK,6499,02/04/2026 15:06:21,02/04/2026 15:10:37
P13,Italia,2972642060,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571548427 was created,ZMMTIJSEP,OK,6509,02/04/2026 15:07:10,02/04/2026 15:10:59
P14,Italia,2972642038,OK,ZMOVEINBHU,Packaging data was saved. Material document 7571548762 was created,ZMMTIJSEP,OK,6181,02/04/2026 15:07:12,02/04/2026 15:11:21
